"centerLong","centerLat","cluster"
-93.28346,45.01939,3
-93.22883,45.00363,2
-93.23569,44.98175,2
-93.26511,44.95821,1
-93.29257,45.00315,3
-93.22826,44.96007,2
-93.21595,44.98605,2
-93.23768,44.98383,2
-93.2651,44.96849,2
-93.30806,44.91236,1
-93.26619,45.01406,3
-93.29406,45.04842,3
-93.27781,44.96938,1
-93.28322,44.96692,1
-93.26136,44.95195,1
-93.28493,45.00779,3
-93.25368,44.95823,2
-93.29689,44.96494,1
-93.25246,45.00553,3
-93.2652,44.95014,1
-93.26593,44.98218,2
-93.25756,44.95101,1
-93.27499,44.96976,1
-93.22816,45.01048,2
-93.21526,44.90266,4
-93.21534,44.97319,2
-93.22778,44.91079,4
-93.22038,44.94413,4
-93.24246,44.98702,2
-93.29402,44.89966,4
-93.22883,45.00363,2
-93.21136,44.91445,4
-93.25142,44.98283,2
-93.23614,44.96751,2
-93.31318,44.9574,1
-93.30704,44.98211,3
-93.30682,45.05029,3
-93.26446,44.93956,4
-93.28418,44.96179,1
-93.27781,44.96789,1
-93.25204,44.99031,2
-93.24062,44.94565,4
-93.29328,44.94041,1
-93.28887,45.0394,3
-93.20324,44.90827,4
-93.28021,45.00478,3
-93.28055,44.91871,4
-93.26611,44.971,2
-93.2776,44.98816,2
-93.24992,44.95285,1
-93.23157,44.94927,4
-93.28444,44.92049,4
-93.2524,44.93683,4
-93.29637,44.94836,1
-93.25244,44.95464,1
-93.22968,44.91168,4
-93.29451,45.03413,3
-93.27536,44.92236,4
-93.23967,45.02301,3
-93.2857,44.92591,1
-93.24362,44.96162,2
-93.25274,44.98595,2
-93.24735,45.00411,2
-93.28139,44.94039,1
-93.29367,44.94891,1
-93.22883,45.00363,2
-93.30452,44.97783,1
-93.26912,44.9795,2
-93.30826,45.01956,3
-93.24859,44.95823,2
-93.24443,44.98264,2
-93.21658,44.92788,4
-93.27791,44.93502,1
-93.24171,44.96274,2
-93.31101,45.03042,3
-93.24357,44.95187,4
-93.2843,44.94566,1
-93.25011,44.98813,2
-93.30583,44.98116,1
-93.26897,44.96179,1
-93.25624,44.95643,1
-93.22556,45.01328,2
-93.26036,45.01054,3
-93.27157,44.94921,1
-93.27359,44.9853,2
-93.21965,44.91081,4
-93.27353,44.98855,2
-93.29274,44.91413,4
-93.26114,44.98137,2
-93.20828,44.92523,4
-93.30145,44.94926,1
-93.26912,44.9795,2
-93.27882,44.97733,2
-93.28408,44.96615,1
-93.26312,44.97236,2
-93.25243,44.99599,2
-93.2315,44.99516,2
-93.22895,44.92327,4
-93.29317,44.95099,1
-93.23614,44.96751,2
-93.21534,44.97319,2
-93.21534,44.97319,2
-93.25958,44.97217,2
-93.21534,44.97319,2
-93.21534,44.97319,2
-93.21534,44.97319,2
-93.21534,44.97319,2
-93.28952,45.00086,3
-93.21534,44.97319,2
-93.26312,44.97236,2
-93.26312,44.97236,2
-93.26312,44.97236,2
-93.26312,44.97236,2
-93.26312,44.97236,2
-93.21534,44.97319,2
-93.30209,44.94959,1
-93.28102,44.97449,1
-93.26124,44.93504,4
-93.30972,44.96495,1
-93.29532,45.043,3
-93.22849,44.94045,4
-93.22579,44.90264,4
-93.24556,45.01267,3
-93.3083,44.98346,3
-93.21662,44.92153,4
-93.30643,44.98158,1
-93.2994,44.99807,3
-93.30832,45.02318,3
-93.2595,44.97882,2
-93.26448,44.97294,2
-93.23226,44.90805,4
-93.26905,45.0258,3
-93.22291,44.90265,4
-93.31336,44.98928,3
-93.26267,44.94883,1
-93.28492,44.94836,1
-93.23014,44.94273,4
-93.30574,45.02135,3
-93.25121,44.94564,4
-93.25754,45.00198,2
-93.22543,44.99871,2
-93.30197,44.9821,1
-93.26638,44.96395,1
-93.29001,44.94836,1
-93.22831,44.93139,4
-93.24644,45.01316,3
-93.26124,44.92964,4
-93.25204,44.99031,2
-93.23757,44.91639,4
-93.28828,44.89873,4
-93.26901,44.9475,1
-93.22883,45.00363,2
-93.24667,45.02038,3
-93.21012,44.96894,2
-93.24725,44.96897,2
-93.21142,44.90448,4
-93.20892,44.89931,4
-93.25244,44.95464,1
-93.23472,44.95108,4
-93.20764,44.92067,4
-93.27719,44.96395,1
-93.25119,44.95285,1
-93.22418,44.8987,4
-93.23203,44.99058,2
-93.25121,44.951,1
-93.25366,44.93503,4
-93.27276,44.93864,1
-93.23853,44.96397,2
-93.26912,44.9795,2
-93.29693,44.95823,1
-93.29689,44.96494,1
-93.26835,44.9179,4
-93.26845,44.8925,4
-93.30089,45.00119,3
-93.28156,44.9958,3
-93.26912,44.9795,2
-93.29689,44.96494,1
-93.27027,44.9527,1
-93.29693,44.95823,1
-93.29496,45.01855,3
-93.30612,44.89651,4
-93.26114,44.98137,2
-93.26312,44.97236,2
-93.21662,44.92153,4
-93.26593,44.98218,2
-93.25243,44.99599,2
-93.24859,44.95823,2
-93.24859,44.95823,2
-93.24859,44.95823,2
-93.23076,44.98872,2
-93.29594,44.91864,1
-93.27624,44.89426,4
-93.22589,44.89981,4
-93.254,44.96513,2
-93.26037,44.96091,2
-93.24857,44.92423,4
-93.2425,44.96184,2
-93.25365,44.92962,4
-93.23853,44.96397,2
-93.25249,44.94921,4
-93.30832,44.98026,1
-93.25239,44.93321,4
-93.2651,44.94047,1
-93.29691,44.99083,3
-93.26766,44.95642,1
-93.25243,44.99599,2
-93.28126,44.97157,1
-93.28094,44.9872,2
-93.25166,45.01316,3
-93.25745,44.93143,4
-93.28941,44.94567,1
-93.21991,44.92513,4
-93.24676,44.94837,4
-93.29323,44.94382,1
-93.22261,44.97246,2
-93.27754,44.89561,4
-93.28427,44.95015,1
-93.25308,45.0009,2
-93.25493,44.93684,4
-93.29055,44.96002,1
-93.31141,44.99515,3
-93.25366,44.92603,4
-93.23538,44.98098,2
-93.27186,45.01406,3
-93.26897,44.96179,1
-93.25031,44.96889,2
-93.27477,44.98282,2
-93.29704,45.03055,3
-93.28952,45.00086,3
-93.22146,44.97217,2
-93.31376,44.92241,1
-93.29315,44.95464,1
-93.24735,45.01152,3
-93.26157,45.0069,3
-93.24733,45.01406,3
-93.28801,44.96002,1
-93.28322,44.96692,1
-93.31213,45.02318,3
-93.29323,44.94382,1
-93.28574,44.90056,4
-93.20646,44.92849,4
-93.30145,44.94926,1
-93.22895,44.92327,4
-93.20611,44.91642,4
-93.28928,44.96001,1
-93.28413,45.01072,3
-93.3082,45.00148,3
-93.28019,44.98504,2
-93.2958,44.94212,1
-93.23514,44.94837,4
-93.26446,44.93956,4
-93.31365,45.03442,3
-93.28425,44.95284,1
-93.26828,44.96891,2
-93.28574,44.90056,4
-93.28322,44.96692,1
-93.29191,45.02856,3
-93.27704,44.98284,2
-93.22569,44.94046,4
-93.30184,44.9576,1
-93.26755,44.93506,4
-93.27403,44.96458,1
-93.28981,44.96753,1
-93.31461,44.9979,3
-93.27719,44.96395,1
-93.25576,44.96793,2
-93.25967,44.96718,2
-93.29092,44.9627,1
-93.25274,44.98595,2
-93.30498,44.94957,1
-93.26527,44.9987,3
-93.25244,44.95464,1
-93.27617,44.90371,4
-93.2815,44.99363,3
-93.28126,44.96,1
-93.28952,45.00086,3
-93.25366,44.93503,4
-93.2036,44.94423,4
-93.24721,45.03469,3
-93.25371,44.95463,1
-93.23695,44.96275,2
-93.25244,44.95464,1
-93.21272,44.94238,4
-93.24557,44.98309,2
-93.30508,44.9915,3
-93.28183,44.99967,3
-93.23457,44.96397,2
-93.23923,44.98187,2
-93.26591,44.98346,2
-93.24359,44.94213,4
-93.2624,44.9987,2
-93.22283,44.96975,2
-93.29433,44.96689,1
-93.28093,45.01579,3
-93.27259,44.90922,4
-93.28952,45.00086,3
-93.21658,44.9728,2
-93.26553,44.9984,3
-93.2972,44.90419,4
-93.27431,44.97449,2
-93.25431,44.91789,4
-93.28019,44.99967,3
-93.25793,45.01053,3
-93.30379,45.0078,3
-93.29115,44.9664,1
-93.26966,44.94835,1
-93.26284,44.97159,2
-93.31621,45.03442,3
-93.31493,45.03442,3
-93.24606,45.02129,3
-93.2652,44.95014,1
-93.25243,44.99599,2
-93.27663,44.94044,1
-93.29322,45.0325,3
-93.25611,44.96272,2
-93.29829,44.94747,1
-93.31569,45.05033,3
-93.24225,44.99974,2
-93.25373,44.95284,1
-93.30211,44.94747,1
-93.30135,44.96543,1
-93.22325,44.93325,4
-93.22883,45.00363,2
-93.23774,44.96185,2
-93.27643,44.9768,2
-93.24647,44.96773,2
-93.29411,45.00538,3
-93.23569,44.98175,2
-93.29317,44.95099,1
-93.23514,44.94837,4
-93.23478,44.97945,2
-93.27292,44.9739,2
-93.26136,44.95195,1
-93.26766,44.95642,1
-93.27351,44.97743,2
-93.26409,44.96891,2
-93.23677,44.98153,2
-93.29571,44.95099,1
-93.23538,44.98098,2
-93.2402,44.98484,2
-93.23538,44.98098,2
-93.24283,44.96047,2
-93.24859,44.95823,2
-93.23339,44.92779,4
-93.21781,44.90265,4
-93.2331,44.97813,2
-93.23719,44.93141,4
-93.22763,44.95737,2
-93.23754,44.90482,4
-93.23,44.94761,4
-93.24991,44.94213,4
-93.23267,45.02162,3
-93.21404,44.92971,4
-93.31941,44.95499,1
-93.28126,44.96,1
-93.24246,44.98702,2
-93.25396,44.96434,2
-93.29258,45.00205,3
-93.27781,44.9618,1
-93.21904,44.98521,2
-93.2153,44.92062,4
-93.29302,44.96051,1
-93.21146,44.94058,4
-93.25371,44.95463,1
-93.26658,45.01108,3
-93.24171,44.96274,2
-93.29739,44.9542,1
-93.32417,44.94752,1
-93.28297,44.95284,1
-93.26911,44.8918,4
-93.26005,44.95643,1
-93.26386,44.95463,1
-93.31588,45.01956,3
-93.23807,44.94475,4
-93.2042,44.93971,4
-93.22355,44.91261,4
-93.28952,45.00086,3
-93.23854,44.96275,2
-93.23466,44.9278,4
-93.24858,44.96092,2
-93.23538,44.98098,2
-93.28156,44.9958,3
-93.27274,44.93684,1
-93.26585,44.94835,1
-93.26593,44.98218,2
-93.27663,44.92597,4
-93.28804,44.95463,1
-93.27316,44.97996,2
-93.24734,44.93502,4
